Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Pension.Pension,343934,,,590,590,54300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Personal Services,Pension.Pension,79671,,,590,590,54700
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Personal Services,Pension.Pension,23117,,,591,591,56300
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Personal Services,Pension.Pension,1219,,,591,591,56100
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Pension.Pension,337745,,,591,591,55300
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Personal Services,Pension.Pension,20733,,,591,591,55900
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Personal Services,Pension.Pension,1219,,,591,591,55800
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.Pension,195120,,,101,258,25800
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.Pension,29375,,,101,267,26700
FY20,Expense,Police,Building ,General Fund,Personal Services,Pension.Pension,10899,,,101,305,30610
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Pension.Pension,277210,,,101,305,30500
FY20,Expense,Police,Records Management,General Fund,Personal Services,Pension.Pension,48189,,,101,305,30700
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Pension.Pension,523539,,,101,305,31000
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,Pension.Pension,62619,,,101,337,33700
FY20,Expense,Fire,Fighting,General Fund,Personal Services,Pension.Pension,617435,,,101,337,33900
FY20,Expense,Police,Patrol,General Fund,Personal Services,Pension.Pension,1559649,,,101,305,31500
FY20,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Pension.Pension,98870,,,101,305,31200
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.Pension,62769,,,101,201,25300
FY20,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.Pension,68572,,,101,136,15100
FY20,Expense,District Court,District Court,General Fund,Personal Services,Pension.Pension,245775,,,101,136,13600
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.Pension,230584,,,101,172,17200
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Pension.Pension,125368,,,101,201,20100
FY20,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.Pension,82860,,,101,215,21500
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.Pension,111500,,,101,209,20900
FY20,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Pension.Pension,5718,,,101,215,19100
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.Pension,115647,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.Pension,74109,,,203,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.Pension,115190,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.Pension,51306,,,202,441,47800
FY20,Expense,Fire,Prevention,General Fund,Personal Services,Pension.Pension,43985,,,101,337,34100
FY20,Expense,Planning,Planning,General Fund,Personal Services,Pension.Pension,60103,,,101,400,40000
FY20,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Pension.Pension,421,,,101,441,44612
FY20,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Pension.Pension,842,,,101,441,44613
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,Pension.Pension,55267,,,208,752,75200
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.Pension,47423,,,203,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.Pension,48396,,,203,441,47800
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Pension.Pension,42782,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Pension.Pension,209705,,,208,752,75600
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Pension.Pension,63263,,,230,441,44300
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Personal Services,Pension.Pension,9822,,,211,441,44210
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Pension.Pension,77312,,,208,752,76100
FY20,Expense,Attorney,Legal Services,General Fund,Personal Services,Pension.Pension,37088,,,101,210,21000
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Pension.Pension,19276,,,401,267,26700
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Personal Services,Pension.Pension,9245,,,256,400,69120
FY20,Expense,Planning,Administration 2020,Community Development Fund,Personal Services,Pension.Pension,15126,,,256,400,17520
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Pension.Pension,16702,,,208,752,76112
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Personal Services,Pension.Pension,140420,,,400,441,17500
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Pension.Pension,2088,,,208,752,76111
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Pension.Pension,2088,,,208,752,76110
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Personal Services,Pension.Pension,15066,,,249,371,72200
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Personal Services,Pension.Pension,31963,,,249,371,37300
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Personal Services,Pension.Pension,14283,,,249,371,37220
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,Pension.Pension,30246,,,249,371,37210
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Pension.Pension,41126,,,101,337,33901
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Personal Services,Pension.Pension,68306,,,591,591,55310
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Personal Services,Pension.Pension,75431,,,590,590,54310
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Personal Services,Pension.Pension,2534,,,590,590,54801
FY20,Expense,Permits,Permits,Building Inspection Fund,Personal Services,Pension.Pension,106006,,,249,371,37100
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Pension.DC Plan,546,,,208,752,76110
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Pension.DC Plan,546,,,208,752,76111
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,Pension.DC Plan,5053,,,249,371,37210
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Personal Services,Pension.DC Plan,5010,,,249,371,37220
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Personal Services,Pension.DC Plan,6449,,,249,371,37300
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Personal Services,Pension.DC Plan,589,,,249,371,72200
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Pension.DC Plan,21997,,,101,209,20900
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Pension.DC Plan,1239,,,101,267,26700
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,Pension.DC Plan,5776,,,101,201,25300
FY20,Expense,Permits,Permits,Building Inspection Fund,Personal Services,Pension.DC Plan,15926,,,249,371,37100
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Personal Services,Pension.DC Plan,17553,,,590,590,54310
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Personal Services,Pension.DC Plan,8891,,,591,591,55310
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Pension.DC Plan,6800,,,101,337,33901
FY20,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Pension.DC Plan,22124,,,101,305,31200
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Personal Services,Pension.DC Plan,1330,,,211,441,44210
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.DC Plan,13251,,,202,441,47400
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,Pension.DC Plan,10845,,,101,337,33700
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,Pension.DC Plan,2489,,,208,752,75200
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Personal Services,Pension.DC Plan,722,,,590,590,54801
FY20,Expense,Police,Records Management,General Fund,Personal Services,Pension.DC Plan,16452,,,101,305,30700
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Personal Services,Pension.DC Plan,480,,,591,591,55800
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Personal Services,Pension.DC Plan,3116,,,591,591,55900
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Personal Services,Pension.DC Plan,480,,,591,591,56100
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Personal Services,Pension.DC Plan,240,,,591,591,56300
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Personal Services,Pension.DC Plan,481,,,591,591,56400
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.DC Plan,6861,,,203,441,47400
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Personal Services,Pension.DC Plan,18848,,,400,441,17500
FY20,Expense,Fire,Prevention,General Fund,Personal Services,Pension.DC Plan,5432,,,101,337,34100
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Pension.DC Plan,4365,,,208,752,76112
FY20,Expense,Police,Building ,General Fund,Personal Services,Pension.DC Plan,3529,,,101,305,30610
FY20,Expense,Planning,Administration 2020,Community Development Fund,Personal Services,Pension.DC Plan,1963,,,256,400,17520
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Personal Services,Pension.DC Plan,3381,,,256,400,69120
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Pension.DC Plan,556,,,401,267,26700
FY20,Expense,Attorney,Legal Services,General Fund,Personal Services,Pension.DC Plan,12389,,,101,210,21000
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Pension.DC Plan,9389,,,208,752,76100
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Pension.DC Plan,11276,,,208,752,75800
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.DC Plan,3289,,,202,441,47800
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Pension.DC Plan,35543,,,101,201,20100
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.DC Plan,35997,,,101,172,17200
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Pension.DC Plan,8204,,,101,305,30500
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,Pension.DC Plan,18469,,,101,258,25800
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Pension.DC Plan,84317,,,591,591,55300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Personal Services,Pension.DC Plan,9309,,,590,590,54700
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Pension.DC Plan,78158,,,590,590,54300
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Personal Services,Pension.DC Plan,1,,,591,591,56500
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Personal Services,Pension.DC Plan,4271,,,591,591,56900
FY20,Expense,Police,Patrol,General Fund,Personal Services,Pension.DC Plan,214561,,,101,305,31500
FY20,Expense,Fire,Fighting,General Fund,Personal Services,Pension.DC Plan,87561,,,101,337,33900
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Pension.DC Plan,24678,,,208,752,75600
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.DC Plan,11273,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.DC Plan,9535,,,203,441,46300
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Pension.DC Plan,20242,,,590,441,54200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Pension.DC Plan,21575,,,591,441,56200
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Pension.DC Plan,13230,,,591,441,56700
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Pension.DC Plan,29093,,,101,305,31000
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,Pension.DC Plan,4168,,,590,590,54800
FY20,Expense,Planning,Planning,General Fund,Personal Services,Pension.DC Plan,17314,,,101,400,40000
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Pension.DC Plan,5074,,,230,441,44300
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.DC Plan,3205,,,203,441,47800
FY20,Expense,City Clerk,City Clerk,General Fund,Personal Services,Pension.DC Plan,11574,,,101,215,21500
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Pension.DC Plan,19098,,,661,441,58200
FY20,Expense,Public Works,Installation of Service,Water Fund,Personal Services,Pension.DC Plan,477,,,591,441,57400
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,Pension.DC Plan,1943,,,591,441,56600
FY20,Expense,District Court,District Court,General Fund,Personal Services,Pension.DC Plan,17149,,,101,136,13600
FY20,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.DC Plan,13554,,,101,136,15100
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Pension.Retiree Health - DC Plan,8768,,,661,441,58200
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,3463,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,1876,,,203,441,46300
FY20,Expense,Planning,Planning,General Fund,Personal Services,Pension.Retiree Health - DC Plan,7985,,,101,400,40000
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Pension.Retiree Health - DC Plan,10148,,,101,305,31000
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Pension.Retiree Health - DC Plan,21113,,,590,590,54300
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Pension.Retiree Health - DC Plan,28809,,,591,591,55300
FY20,Expense,Police,Patrol,General Fund,Personal Services,Pension.Retiree Health - DC Plan,97971,,,101,305,31500
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Pension.Retiree Health - DC Plan,5833,,,208,752,76100
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Pension.Retiree Health - DC Plan,14869,,,101,201,20100
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Pension.Retiree Health - DC Plan,4976,,,590,441,54200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Pension.Retiree Health - DC Plan,7086,,,591,441,56200
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Pension.Retiree Health - DC Plan,4886,,,591,441,56700
